================================================================================
AxisForge — Fatigue Stress Analysis — Shaft
================================================================================
Project  : demo_C14_H501
Element  : C14_shaft
Script   : full_pipeline.py
Date     : 2026-05-29 14:47:40
Solver   : StressSolver v1.0
Standard : Shigley 10th ed. §7-4
================================================================================

  Material      : 42CrMo4
  Surface finish: machined
  Reliability   : 99 %
  Sut           : 1000.0 MPa
  Sy            : 800.0 MPa

--------------------------------------------------------------------------------
    x [mm]    d [mm]      Kf     Kfs   σ_a [MPa]   σ_m [MPa]    nf_GM   nf_ASME       ny   Safe
    306.31     15.00   1.000   1.000     389.813     522.741    0.513     0.637    0.877      ✗
    186.99     20.00   1.000   1.000     515.586       0.000    0.514     0.514    1.552      ✗
    228.63     20.00   1.000   1.000     456.813     220.532    0.514     0.572    1.181      ✗
    186.59     20.00   1.000   1.000     514.079       0.000    0.515     0.515    1.556      ✗
    229.03     20.00   1.000   1.000     455.306     220.532    0.516     0.574    1.184      ✗
    306.71     15.00   1.000   1.000     386.241     522.741    0.516     0.642    0.880      ✗
    186.19     20.00   1.000   1.000     512.572       0.000    0.517     0.517    1.561      ✗
    229.43     20.00   1.000   1.000     453.799     220.532    0.517     0.576    1.186      ✗
    185.79     20.00   1.000   1.000     511.065       0.000    0.518     0.518    1.565      ✗
    229.83     20.00   1.000   1.000     452.292     220.532    0.519     0.578    1.189      ✗
    185.39     20.00   1.000   1.000     509.558       0.000    0.520     0.520    1.570      ✗
    307.11     15.00   1.000   1.000     382.669     522.741    0.520     0.647    0.884      ✗
    230.23     20.00   1.000   1.000     450.785     220.532    0.520     0.580    1.192      ✗
    184.98     20.00   1.000   1.000     508.051       0.000    0.521     0.521    1.575      ✗
    230.63     20.00   1.000   1.000     449.278     220.532    0.522     0.582    1.194      ✗
    184.58     20.00   1.000   1.000     506.544       0.000    0.523     0.523    1.579      ✗
    231.03     20.00   1.000   1.000     447.771     220.532    0.523     0.584    1.197      ✗
    307.51     15.00   1.000   1.000     379.097     522.741    0.523     0.652    0.887      ✗
    184.18     20.00   1.000   1.000     505.037       0.000    0.524     0.524    1.584      ✗
    231.43     20.00   1.000   1.000     446.264     220.532    0.525     0.586    1.200      ✗
    183.78     20.00   1.000   1.000     503.530       0.000    0.526     0.526    1.589      ✗
    231.83     20.00   1.000   1.000     444.757     220.532    0.526     0.588    1.202      ✗
    307.91     15.00   1.000   1.000     375.525     522.741    0.527     0.657    0.891      ✗
    183.38     20.00   1.000   1.000     502.023       0.000    0.528     0.528    1.594      ✗
    232.23     20.00   1.000   1.000     443.249     220.532    0.528     0.590    1.205      ✗
    182.98     20.00   1.000   1.000     500.516       0.000    0.529     0.529    1.598      ✗
    232.63     20.00   1.000   1.000     441.742     220.532    0.530     0.592    1.208      ✗
    308.31     15.00   1.000   1.000     371.953     522.741    0.531     0.662    0.894      ✗
    182.58     20.00   1.000   1.000     499.009       0.000    0.531     0.531    1.603      ✗
    233.03     20.00   1.000   1.000     440.235     220.532    0.531     0.593    1.211      ✗
    182.18     20.00   1.000   1.000     497.502       0.000    0.532     0.532    1.608      ✗
    233.43     20.00   1.000   1.000     438.728     220.532    0.533     0.595    1.213      ✗
    181.78     20.00   1.000   1.000     495.995       0.000    0.534     0.534    1.613      ✗
    308.71     15.00   1.000   1.000     368.380     522.741    0.534     0.667    0.898      ✗
    233.83     20.00   1.000   1.000     437.221     220.532    0.534     0.597    1.216      ✗
    181.38     20.00   1.000   1.000     494.488       0.000    0.536     0.536    1.618      ✗
    234.23     20.00   1.000   1.000     435.714     220.532    0.536     0.599    1.219      ✗
    180.98     20.00   1.000   1.000     492.981       0.000    0.537     0.537    1.623      ✗
    234.63     20.00   1.000   1.000     434.207     220.532    0.538     0.601    1.222      ✗
    309.11     15.00   1.000   1.000     364.808     522.741    0.538     0.673    0.901      ✗
    180.58     20.00   1.000   1.000     491.474       0.000    0.539     0.539    1.628      ✗
    235.04     20.00   1.000   1.000     432.700     220.532    0.539     0.604    1.225      ✗
    180.18     20.00   1.000   1.000     489.967       0.000    0.541     0.541    1.633      ✗
    235.44     20.00   1.000   1.000     431.193     220.532    0.541     0.606    1.228      ✗
    309.51     15.00   1.000   1.000     361.236     522.741    0.542     0.678    0.905      ✗
    179.78     20.00   1.000   1.000     488.460       0.000    0.542     0.542    1.638      ✗
    235.84     20.00   1.000   1.000     429.686     220.532    0.543     0.608    1.230      ✗
    179.38     20.00   1.000   1.000     486.953       0.000    0.544     0.544    1.643      ✗
    236.24     20.00   1.000   1.000     428.179     220.532    0.544     0.610    1.233      ✗
    178.98     20.00   1.000   1.000     485.446       0.000    0.546     0.546    1.648      ✗
    309.91     15.00   1.000   1.000     357.664     522.741    0.546     0.683    0.909      ✗
    236.64     20.00   1.000   1.000     426.672     220.532    0.546     0.612    1.236      ✗
    178.58     20.00   1.000   1.000     483.939       0.000    0.547     0.547    1.653      ✗
    237.04     20.00   1.000   1.000     425.165     220.532    0.548     0.614    1.239      ✗
    178.18     20.00   1.000   1.000     482.432       0.000    0.549     0.549    1.658      ✗
    237.44     20.00   1.000   1.000     423.658     220.532    0.549     0.616    1.242      ✗
    310.31     15.00   1.000   1.000     354.092     522.741    0.550     0.689    0.912      ✗
    177.78     20.00   1.000   1.000     480.925       0.000    0.551     0.551    1.663      ✗
    237.84     20.00   1.000   1.000     422.151     220.532    0.551     0.618    1.245      ✗
    177.38     20.00   1.000   1.000     479.418       0.000    0.552     0.552    1.669      ✗
    238.24     20.00   1.000   1.000     420.644     220.532    0.553     0.620    1.248      ✗
    310.71     15.00   1.000   1.000     350.520     522.741    0.554     0.694    0.916      ✗
    176.98     20.00   1.000   1.000     477.911       0.000    0.554     0.554    1.674      ✗
    238.64     20.00   1.000   1.000     419.137     220.532    0.555     0.622    1.251      ✗
    176.58     20.00   1.000   1.000     476.404       0.000    0.556     0.556    1.679      ✗
    239.04     20.00   1.000   1.000     417.630     220.532    0.556     0.625    1.254      ✗
    176.18     20.00   1.000   1.000     474.897       0.000    0.558     0.558    1.685      ✗
    311.11     15.00   1.000   1.000     346.947     522.741    0.558     0.700    0.920      ✗
    239.44     20.00   1.000   1.000     416.123     220.532    0.558     0.627    1.257      ✗
    175.78     20.00   1.000   1.000     473.390       0.000    0.559     0.559    1.690      ✗
    239.84     20.00   1.000   1.000     414.616     220.532    0.560     0.629    1.260      ✗
    175.38     20.00   1.000   1.000     471.883       0.000    0.561     0.561    1.695      ✗
    240.24     20.00   1.000   1.000     413.109     220.532    0.562     0.631    1.263      ✗
    311.51     15.00   1.000   1.000     343.375     522.741    0.562     0.706    0.924      ✗
    174.97     20.00   1.000   1.000     470.376       0.000    0.563     0.563    1.701      ✗
    240.64     20.00   1.000   1.000     411.602     220.532    0.563     0.634    1.266      ✗
    174.57     20.00   1.000   1.000     468.869       0.000    0.565     0.565    1.706      ✗
    241.04     20.00   1.000   1.000     410.095     220.532    0.565     0.636    1.269      ✗
    311.91     15.00   1.000   1.000     339.803     522.741    0.566     0.712    0.927      ✗
    174.17     20.00   1.000   1.000     467.362       0.000    0.567     0.567    1.712      ✗
    241.44     20.00   1.000   1.000     408.588     220.532    0.567     0.638    1.272      ✗
    173.77     20.00   1.000   1.000     465.855       0.000    0.569     0.569    1.717      ✗
    241.84     20.00   1.000   1.000     407.081     220.532    0.569     0.640    1.275      ✗
    312.31     15.00   1.000   1.000     336.231     522.741    0.570     0.717    0.931      ✗
    173.37     20.00   1.000   1.000     464.348       0.000    0.570     0.570    1.723      ✗
    242.24     20.00   1.000   1.000     405.574     220.532    0.571     0.643    1.278      ✗
    172.97     20.00   1.000   1.000     462.841       0.000    0.572     0.572    1.728      ✗
    242.64     20.00   1.000   1.000     404.067     220.532    0.573     0.645    1.281      ✗
    172.57     20.00   1.000   1.000     461.334       0.000    0.574     0.574    1.734      ✗
    312.71     15.00   1.000   1.000     332.659     522.741    0.574     0.723    0.935      ✗
    243.04     20.00   1.000   1.000     402.560     220.532    0.575     0.647    1.284      ✗
