================================================================================
AxisForge — Fatigue Stress Analysis — Shaft
================================================================================
Project  : demo_reducer_2stages
Element  : shaft_1
Script   : shaft_1.py
Date     : 2026-05-29 14:59:12
Solver   : StressSolver v1.0
Standard : Shigley 10th ed. §7-4
================================================================================

  Material      : 42CrMo4
  Surface finish: machined
  Reliability   : 99 %
  Sut           : 1000.0 MPa
  Sy            : 800.0 MPa

--------------------------------------------------------------------------------
    x [mm]    d [mm]      Kf     Kfs   σ_a [MPa]   σ_m [MPa]    nf_GM   nf_ASME       ny   Safe
    182.98     50.00   1.000   1.000      39.206      14.114    5.637     6.089   15.004      ✓
    141.34     50.00   1.000   1.000      42.558       0.000    5.642     5.642   18.798      ✓
     74.07     40.00   1.000   1.000      43.562       0.000    5.645     5.645   18.365      ✓
    183.38     50.00   1.000   1.000      39.134      14.114    5.647     6.100   15.024      ✓
    183.78     50.00   1.000   1.000      39.062      14.114    5.656     6.111   15.044      ✓
    140.94     50.00   1.000   1.000      42.437       0.000    5.658     5.658   18.851      ✓
    184.18     50.00   1.000   1.000      38.989      14.114    5.666     6.122   15.065      ✓
    140.54     50.00   1.000   1.000      42.317       0.000    5.674     5.674   18.905      ✓
    184.58     50.00   1.000   1.000      38.917      14.114    5.675     6.133   15.085      ✓
     73.67     40.00   1.000   1.000      43.327       0.000    5.676     5.676   18.464      ✓
    184.98     50.00   1.000   1.000      38.845      14.114    5.685     6.145   15.106      ✓
    140.14     50.00   1.000   1.000      42.196       0.000    5.690     5.690   18.959      ✓
    185.39     50.00   1.000   1.000      38.772      14.114    5.695     6.156   15.127      ✓
    185.79     50.00   1.000   1.000      38.700      14.114    5.705     6.167   15.147      ✓
    139.74     50.00   1.000   1.000      42.076       0.000    5.707     5.707   19.013      ✓
     73.27     40.00   1.000   1.000      43.091       0.000    5.707     5.707   18.565      ✓
    186.19     50.00   1.000   1.000      38.628      14.114    5.715     6.179   15.168      ✓
    139.34     50.00   1.000   1.000      41.955       0.000    5.723     5.723   19.068      ✓
    186.59     50.00   1.000   1.000      38.555      14.114    5.724     6.190   15.189      ✓
    186.99     50.00   1.000   1.000      38.483      14.114    5.734     6.202   15.210      ✓
     72.87     40.00   1.000   1.000      42.856       0.000    5.738     5.738   18.667      ✓
    138.94     50.00   1.000   1.000      41.835       0.000    5.739     5.739   19.123      ✓
    187.39     50.00   1.000   1.000      38.411      14.114    5.744     6.213   15.231      ✓
    187.79     50.00   1.000   1.000      38.338      14.114    5.754     6.225   15.252      ✓
    138.54     50.00   1.000   1.000      41.714       0.000    5.756     5.756   19.178      ✓
    188.19     50.00   1.000   1.000      38.266      14.114    5.764     6.237   15.273      ✓
     72.47     40.00   1.000   1.000      42.620       0.000    5.770     5.770   18.770      ✓
    138.14     50.00   1.000   1.000      41.593       0.000    5.773     5.773   19.234      ✓
    188.59     50.00   1.000   1.000      38.194      14.114    5.774     6.248   15.294      ✓
    188.99     50.00   1.000   1.000      38.121      14.114    5.784     6.260   15.315      ✓
    137.74     50.00   1.000   1.000      41.473       0.000    5.789     5.789   19.290      ✓
    189.39     50.00   1.000   1.000      38.049      14.114    5.794     6.272   15.337      ✓
     72.07     40.00   1.000   1.000      42.385       0.000    5.802     5.802   18.875      ✓
    189.79     50.00   1.000   1.000      37.977      14.114    5.804     6.283   15.358      ✓
    137.34     50.00   1.000   1.000      41.352       0.000    5.806     5.806   19.346      ✓
    190.19     50.00   1.000   1.000      37.904      14.114    5.815     6.295   15.379      ✓
    136.94     50.00   1.000   1.000      41.232       0.000    5.823     5.823   19.402      ✓
    190.59     50.00   1.000   1.000      37.832      14.114    5.825     6.307   15.401      ✓
     71.67     40.00   1.000   1.000      42.149       0.000    5.834     5.834   18.980      ✓
    190.99     50.00   1.000   1.000      37.760      14.114    5.835     6.319   15.422      ✓
    136.54     50.00   1.000   1.000      41.111       0.000    5.840     5.840   19.459      ✓
    191.39     50.00   1.000   1.000      37.687      14.114    5.845     6.331   15.444      ✓
    191.79     50.00   1.000   1.000      37.615      14.114    5.856     6.343   15.465      ✓
    136.14     50.00   1.000   1.000      40.991       0.000    5.858     5.858   19.517      ✓
    300.30     40.00   1.000   1.000      35.179      27.566    5.861     6.796   12.750      ✓
    192.19     50.00   1.000   1.000      37.543      14.114    5.866     6.355   15.487      ✓
     71.27     40.00   1.000   1.000      41.914       0.000    5.867     5.867   19.087      ✓
    135.74     50.00   1.000   1.000      40.870       0.000    5.875     5.875   19.574      ✓
    192.59     50.00   1.000   1.000      37.470      14.114    5.876     6.367   15.509      ✓
    300.70     40.00   1.000   1.000      35.038      27.566    5.881     6.822   12.779      ✓
    192.99     50.00   1.000   1.000      37.398      14.114    5.887     6.379   15.530      ✓
    135.34     50.00   1.000   1.000      40.750       0.000    5.892     5.892   19.632      ✓
    193.39     50.00   1.000   1.000      37.326      14.114    5.897     6.392   15.552      ✓
     70.87     40.00   1.000   1.000      41.678       0.000    5.900     5.900   19.195      ✓
    301.10     40.00   1.000   1.000      34.897      27.566    5.901     6.848   12.808      ✓
    193.79     50.00   1.000   1.000      37.253      14.114    5.908     6.404   15.574      ✓
    134.93     50.00   1.000   1.000      40.629       0.000    5.910     5.910   19.690      ✓
    194.19     50.00   1.000   1.000      37.181      14.114    5.918     6.416   15.596      ✓
    301.50     40.00   1.000   1.000      34.755      27.566    5.921     6.874   12.837      ✓
    134.53     50.00   1.000   1.000      40.508       0.000    5.927     5.927   19.749      ✓
    194.59     50.00   1.000   1.000      37.109      14.114    5.929     6.429   15.618      ✓
     70.47     40.00   1.000   1.000      41.443       0.000    5.934     5.934   19.304      ✓
    194.99     50.00   1.000   1.000      37.036      14.114    5.940     6.441   15.640      ✓
    301.90     40.00   1.000   1.000      34.614      27.566    5.941     6.901   12.866      ✓
    134.13     50.00   1.000   1.000      40.388       0.000    5.945     5.945   19.808      ✓
    195.40     50.00   1.000   1.000      36.964      14.114    5.950     6.453   15.662      ✓
