================================================================================
AxisForge — Fatigue Stress Analysis — Shaft
================================================================================
Project  : demo_C14_H501
Element  : H501_shaft
Script   : full_pipeline.py
Date     : 2026-05-29 14:47:40
Solver   : StressSolver v1.0
Standard : Shigley 10th ed. §7-4
================================================================================

  Material      : 42CrMo4
  Surface finish: machined
  Reliability   : 99 %
  Sut           : 1000.0 MPa
  Sy            : 800.0 MPa

--------------------------------------------------------------------------------
    x [mm]    d [mm]      Kf     Kfs   σ_a [MPa]   σ_m [MPa]    nf_GM   nf_ASME       ny   Safe
    244.64     20.00   1.000   1.000     197.808     110.266    1.167     1.317    2.597      ✓
    313.51     15.00   1.000   1.000     162.381     261.371    1.168     1.474    1.888      ✓
    170.57     20.00   1.000   1.000     226.374       0.000    1.170     1.170    3.534      ✓
    245.05     20.00   1.000   1.000     197.056     110.266    1.171     1.321    2.603      ✓
    170.17     20.00   1.000   1.000     225.623       0.000    1.174     1.174    3.546      ✓
    245.45     20.00   1.000   1.000     196.304     110.266    1.174     1.326    2.610      ✓
    313.91     15.00   1.000   1.000     160.599     261.371    1.177     1.487    1.896      ✓
    169.77     20.00   1.000   1.000     224.871       0.000    1.178     1.178    3.558      ✓
    245.85     20.00   1.000   1.000     195.552     110.266    1.178     1.331    2.616      ✓
    169.37     20.00   1.000   1.000     224.119       0.000    1.182     1.182    3.570      ✓
    246.25     20.00   1.000   1.000     194.800     110.266    1.182     1.336    2.622      ✓
    168.97     20.00   1.000   1.000     223.367       0.000    1.186     1.186    3.582      ✓
    246.65     20.00   1.000   1.000     194.049     110.266    1.186     1.341    2.629      ✓
    314.31     15.00   1.000   1.000     158.817     261.371    1.186     1.499    1.904      ✓
    168.57     20.00   1.000   1.000     222.616       0.000    1.190     1.190    3.594      ✓
    247.05     20.00   1.000   1.000     193.297     110.266    1.190     1.346    2.635      ✓
    168.17     20.00   1.000   1.000     221.864       0.000    1.194     1.194    3.606      ✓
    247.45     20.00   1.000   1.000     192.545     110.266    1.194     1.351    2.642      ✓
    314.71     15.00   1.000   1.000     157.035     261.371    1.196     1.512    1.912      ✓
    167.77     20.00   1.000   1.000     221.112       0.000    1.198     1.198    3.618      ✓
    247.85     20.00   1.000   1.000     191.793     110.266    1.198     1.357    2.648      ✓
    167.37     20.00   1.000   1.000     220.360       0.000    1.202     1.202    3.630      ✓
    248.25     20.00   1.000   1.000     191.042     110.266    1.202     1.362    2.655      ✓
    315.12     15.00   1.000   1.000     155.253     261.371    1.205     1.525    1.920      ✓
    166.97     20.00   1.000   1.000     219.609       0.000    1.206     1.206    3.643      ✓
    248.65     20.00   1.000   1.000     190.290     110.266    1.207     1.367    2.662      ✓
    166.57     20.00   1.000   1.000     218.857       0.000    1.210     1.210    3.655      ✓
    249.05     20.00   1.000   1.000     189.538     110.266    1.211     1.372    2.668      ✓
    166.17     20.00   1.000   1.000     218.105       0.000    1.214     1.214    3.668      ✓
    315.52     15.00   1.000   1.000     153.471     261.371    1.215     1.538    1.928      ✓
    249.45     20.00   1.000   1.000     188.786     110.266    1.215     1.377    2.675      ✓
    165.77     20.00   1.000   1.000     217.353       0.000    1.218     1.218    3.681      ✓
    249.85     20.00   1.000   1.000     188.035     110.266    1.219     1.383    2.682      ✓
    165.37     20.00   1.000   1.000     216.602       0.000    1.223     1.223    3.693      ✓
    250.25     20.00   1.000   1.000     187.283     110.266    1.223     1.388    2.689      ✓
    315.92     15.00   1.000   1.000     151.689     261.371    1.224     1.552    1.937      ✓
    164.96     20.00   1.000   1.000     215.850       0.000    1.227     1.227    3.706      ✓
    250.65     20.00   1.000   1.000     186.531     110.266    1.228     1.393    2.695      ✓
    164.56     20.00   1.000   1.000     215.098       0.000    1.231     1.231    3.719      ✓
    251.05     20.00   1.000   1.000     185.779     110.266    1.232     1.399    2.702      ✓
    316.32     15.00   1.000   1.000     149.907     261.371    1.234     1.566    1.945      ✓
     99.70     15.00   1.000   1.000     221.185       0.000    1.235     1.235    3.617      ✓
    164.16     20.00   1.000   1.000     214.346       0.000    1.236     1.236    3.732      ✓
    251.45     20.00   1.000   1.000     185.028     110.266    1.236     1.404    2.709      ✓
    163.76     20.00   1.000   1.000     213.595       0.000    1.240     1.240    3.745      ✓
    251.85     20.00   1.000   1.000     184.276     110.266    1.241     1.410    2.716      ✓
    316.72     15.00   1.000   1.000     148.125     261.371    1.244     1.579    1.954      ✓
    163.36     20.00   1.000   1.000     212.843       0.000    1.244     1.244    3.759      ✓
     99.30     15.00   1.000   1.000     219.403       0.000    1.245     1.245    3.646      ✓
    252.25     20.00   1.000   1.000     183.524     110.266    1.245     1.415    2.723      ✓
    162.96     20.00   1.000   1.000     212.091       0.000    1.249     1.249    3.772      ✓
    252.65     20.00   1.000   1.000     182.772     110.266    1.249     1.421    2.730      ✓
    162.56     20.00   1.000   1.000     211.339       0.000    1.253     1.253    3.785      ✓
    253.05     20.00   1.000   1.000     182.020     110.266    1.254     1.427    2.737      ✓
    317.12     15.00   1.000   1.000     146.343     261.371    1.254     1.593    1.962      ✓
     98.90     15.00   1.000   1.000     217.621       0.000    1.255     1.255    3.676      ✓
    162.16     20.00   1.000   1.000     210.587       0.000    1.258     1.258    3.799      ✓
    253.45     20.00   1.000   1.000     181.269     110.266    1.258     1.432    2.744      ✓
    161.76     20.00   1.000   1.000     209.836       0.000    1.262     1.262    3.813      ✓
    253.85     20.00   1.000   1.000     180.517     110.266    1.263     1.438    2.751      ✓
    317.52     15.00   1.000   1.000     144.561     261.371    1.265     1.608    1.971      ✓
     98.50     15.00   1.000   1.000     215.839       0.000    1.265     1.265    3.706      ✓
    161.36     20.00   1.000   1.000     209.084       0.000    1.267     1.267    3.826      ✓
    254.25     20.00   1.000   1.000     179.765     110.266    1.267     1.444    2.758      ✓
    160.96     20.00   1.000   1.000     208.332       0.000    1.271     1.271    3.840      ✓
    254.65     20.00   1.000   1.000     179.013     110.266    1.272     1.450    2.765      ✓
    317.92     15.00   1.000   1.000     142.779     261.371    1.275     1.622    1.979      ✓
    160.56     20.00   1.000   1.000     207.580       0.000    1.276     1.276    3.854      ✓
     98.10     15.00   1.000   1.000     214.057       0.000    1.276     1.276    3.737      ✓
    255.06     20.00   1.000   1.000     178.262     110.266    1.277     1.455    2.773      ✓
    160.16     20.00   1.000   1.000     206.829       0.000    1.280     1.280    3.868      ✓
    255.46     20.00   1.000   1.000     177.510     110.266    1.281     1.461    2.780      ✓
    159.76     20.00   1.000   1.000     206.077       0.000    1.285     1.285    3.882      ✓
    255.86     20.00   1.000   1.000     176.758     110.266    1.286     1.467    2.787      ✓
    318.32     15.00   1.000   1.000     140.997     261.371    1.286     1.637    1.988      ✓
     97.70     15.00   1.000   1.000     212.275       0.000    1.287     1.287    3.769      ✓
    159.36     20.00   1.000   1.000     205.325       0.000    1.290     1.290    3.896      ✓
    256.26     20.00   1.000   1.000     176.006     110.266    1.291     1.473    2.795      ✓
    158.96     20.00   1.000   1.000     204.573       0.000    1.295     1.295    3.911      ✓
    256.66     20.00   1.000   1.000     175.255     110.266    1.295     1.479    2.802      ✓
    318.72     15.00   1.000   1.000     139.215     261.371    1.297     1.652    1.997      ✓
     97.30     15.00   1.000   1.000     210.494       0.000    1.298     1.298    3.801      ✓
    158.56     20.00   1.000   1.000     203.822       0.000    1.299     1.299    3.925      ✓
    257.06     20.00   1.000   1.000     174.503     110.266    1.300     1.486    2.809      ✓
    158.16     20.00   1.000   1.000     203.070       0.000    1.304     1.304    3.940      ✓
    257.46     20.00   1.000   1.000     173.751     110.266    1.305     1.492    2.817      ✓
    319.12     15.00   1.000   1.000     137.433     261.371    1.308     1.667    2.006      ✓
     96.90     15.00   1.000   1.000     208.712       0.000    1.309     1.309    3.833      ✓
    157.76     20.00   1.000   1.000     202.318       0.000    1.309     1.309    3.954      ✓
    257.86     20.00   1.000   1.000     172.999     110.266    1.310     1.498    2.824      ✓
    157.36     20.00   1.000   1.000     201.566       0.000    1.314     1.314    3.969      ✓
    258.26     20.00   1.000   1.000     172.248     110.266    1.315     1.504    2.832      ✓
    156.96     20.00   1.000   1.000     200.815       0.000    1.319     1.319    3.984      ✓
    319.52     15.00   1.000   1.000     135.651     261.371    1.319     1.682    2.015      ✓
    258.66     20.00   1.000   1.000     171.496     110.266    1.320     1.510    2.839      ✓
     96.50     15.00   1.000   1.000     206.930       0.000    1.320     1.320    3.866      ✓
    156.56     20.00   1.000   1.000     200.063       0.000    1.324     1.324    3.999      ✓
    259.06     20.00   1.000   1.000     170.744     110.266    1.325     1.517    2.847      ✓
    156.16     20.00   1.000   1.000     199.311       0.000    1.329     1.329    4.014      ✓
    259.46     20.00   1.000   1.000     169.992     110.266    1.330     1.523    2.855      ✓
    319.92     15.00   1.000   1.000     133.869     261.371    1.331     1.698    2.024      ✓
     96.10     15.00   1.000   1.000     205.148       0.000    1.331     1.331    3.900      ✓
    155.76     20.00   1.000   1.000     198.559       0.000    1.334     1.334    4.029      ✓
    259.86     20.00   1.000   1.000     169.241     110.266    1.335     1.530    2.862      ✓
